county_name,fips,pop2020,pop_density_perSqMile,perc_pop_65plus,median_HH_income,perc_college_grad
"Ingham County, MI",26065,292346,525.7,13.5504,61993,35.1956
"Chatham County, GA",13051,289676,679.3,15.9123,64540,31.7187
"Anchorage Municipality, AK",2020,287009,168.4,10.0053,97225,33.1771
"Cleveland County, OK",40027,285168,529.3,13.4791,72191,30.5465
"San Luis Obispo County, CA",6079,284085,86.1,19.7219,78923,32.8787
"York County, SC",45091,283935,417.2,15.0841,73088,27.6353
"Winnebago County, IL",17201,282447,550.2,17.1533,65681,20.7061
"Benton County, AR",5007,281073,331.7,16.0531,73163,28.3583
"Merced County, CA",6047,279313,144.3,11.8863,50113,12.8107
"Dauphin County, PA",42043,278648,530.7,17.507,75202,28.3121
"Webb County, TX",48479,276781,82.3,10.7388,52102,16.3119
"Santa Cruz County, CA",6087,273524,614.4,13.9717,84954,32.8594
"Kitsap County, WA",53035,272826,690.8,17.186,83159,29.4911
"St. Joseph County, IN",18141,271994,594.1,16.993,61928,26.7672
"Alachua County, FL",12001,270032,308.6,14.0854,58457,36.9847
"Erie County, PA",42049,269522,337.3,18.6515,63310,25.7234
"St. Johns County, FL",12109,268905,447.7,20.3886,88215,41.5159
"Kalamazoo County, MI",26077,265478,472.7,15.8721,64105,35.7067
"New London County, CT",9011,265342,399.1,18.261,92260,31.9023
"Brown County, WI",55009,265223,500.7,14.8747,72030,27.8227
"Atlantic County, NJ",34001,264448,475.9,18.1756,74916,26.8066
"Washington County, MN",27163,263775,686.4,13.8303,107958,39.9826
"Madison County, IL",17119,263254,367.9,18.4058,72934,24.5985
"Buncombe County, NC",37021,262365,399.5,20.5946,62409,34.6943
"St. Tammany Parish, LA",22103,261693,309.5,16.7754,82604,29.0084
"Weber County, UT",49057,261558,454,13.1172,72998,22.147
"Frederick County, MD",24021,261206,395.6,14.613,112776,39.185
"Cherokee County, GA",13057,260752,618.4,12.6177,92659,35.5763
"St. Clair County, IL",17163,259303,394.2,16.1298,69721,25.6062
"Marin County, CA",6041,259027,497.8,21.1665,121288,50.6695
"McLennan County, TX",48309,257693,248.5,16.1382,56325,22.5318
"Harford County, MD",24025,256399,586.6,16.3023,107744,34.4025
"Cumberland County, PA",42041,254512,466.6,19.7484,84022,32.8698
"Jefferson County, TX",48245,251379,286.9,16.6295,60912,19.0757
"Clay County, MO",29047,251367,632.7,14.5449,82682,31.7836
"Yakima County, WA",53077,251228,58.5,15.4792,56418,15.084
"Forsyth County, GA",13117,246592,1100.8,12.1314,115892,44.569
"Chesapeake city, VA",51550,245878,721.5,13.9707,95465,30.8135
"Lafayette Parish, LA",22055,244823,911.1,13.4591,69363,28.0998
"Norfolk city, VA",51710,242393,4478.8,12.1427,61374,25.4493
"Union County, NC",37179,241512,382.4,13.3037,88235,31.5062
"Williamson County, TN",47187,240431,412.7,13.1214,120687,52.6299
"Washington County, AR",5143,240117,254.9,12.481,55626,29.0998
"Caddo Parish, LA",22017,239555,272.7,17.401,56961,21.7044
"Yavapai County, AZ",4025,237378,29.2,29.9813,59736,23.3259
"Arlington County, VA",51013,237016,9125,11.7005,133733,68.0908
"Henry County, GA",13151,236549,734.3,10.8197,86595,23.4544
"Sussex County, DE",10005,236403,252.5,26.5403,72430,22.6095
"Warren County, OH",39165,235882,587.8,14.3627,98465,39.7326
"New Hanover County, NC",37129,235705,1230.6,18.1091,69782,36.9767
"Smith County, TX",48423,233917,253.9,18.5566,65576,23.7721
